method,threshold,corruption,severity,accuracy,error_rate,nll,entropy,ece,runtime_sec,selected_fraction,num_samples,subset_size,tta_lr,tta_steps
gated,0.7,gaussian_blur,2,0.6830000281333923,0.31699997186660767,0.8926578760147095,0.840117335319519,0.0325949601829052,1.5203306000000083,0.5195,2000,2000,0.001,1
gated,0.9,gaussian_blur,2,0.6804999709129333,0.31950002908706665,0.8969724774360657,0.8467645645141602,0.026778927072882652,1.5453463999999997,0.294,2000,2000,0.001,1
source,,gaussian_blur,3,0.4339999854564667,0.5660000145435333,1.8992085456848145,1.0945513248443604,0.15679776668548584,0.7950938999999977,0.0,2000,2000,,
bn,,gaussian_blur,3,0.6365000009536743,0.3634999990463257,1.0620951652526855,0.9418224096298218,0.03239525109529495,0.7991707000000048,1.0,2000,2000,,
entropy,,gaussian_blur,3,0.640999972820282,0.359000027179718,1.041151762008667,0.900709331035614,0.0451120100915432,1.5685003000000108,1.0,2000,2000,0.001,1
gated,0.5,gaussian_blur,3,0.6420000195503235,0.3579999804496765,1.0415891408920288,0.9027345180511475,0.04353281855583191,1.5234512999999907,0.7205,2000,2000,0.001,1
gated,0.7,gaussian_blur,3,0.6424999833106995,0.35750001668930054,1.0417704582214355,0.9062869548797607,0.04088196903467178,1.5473479000000054,0.4655,2000,2000,0.001,1
gated,0.9,gaussian_blur,3,0.6389999985694885,0.3610000014305115,1.0480406284332275,0.913455605506897,0.04301222041249275,1.6081082999999978,0.2385,2000,2000,0.001,1
source,,gaussian_blur,4,0.3644999861717224,0.6355000138282776,2.3181726932525635,1.1572415828704834,0.20084527134895325,0.8058228000000014,0.0,2000,2000,,
bn,,gaussian_blur,4,0.5609999895095825,0.4390000104904175,1.2750287055969238,1.0147898197174072,0.07508665323257446,0.789336800000001,1.0,2000,2000,,
entropy,,gaussian_blur,4,0.5659999847412109,0.43400001525878906,1.2489678859710693,0.9721987843513489,0.08518023788928986,1.5898094000000071,1.0,2000,2000,0.001,1
gated,0.5,gaussian_blur,4,0.5680000185966492,0.43199998140335083,1.250569224357605,0.9744585752487183,0.08267001807689667,1.6034094000000039,0.6815,2000,2000,0.001,1
gated,0.7,gaussian_blur,4,0.5674999952316284,0.4325000047683716,1.2526859045028687,0.9777287840843201,0.08212333917617798,1.583510099999998,0.4145,2000,2000,0.001,1
gated,0.9,gaussian_blur,4,0.5619999766349792,0.43800002336502075,1.2627426385879517,0.9879109859466553,0.08697329461574554,1.590410300000002,0.1995,2000,2000,0.001,1
source,,gaussian_blur,5,0.3310000002384186,0.6689999997615814,2.5376474857330322,1.2144197225570679,0.21277061104774475,0.750579700000003,0.0,2000,2000,,
bn,,gaussian_blur,5,0.5015000104904175,0.4984999895095825,1.4819837808609009,1.0540093183517456,0.1221713200211525,0.7336106999999998,1.0,2000,2000,,
entropy,,gaussian_blur,5,0.5049999952316284,0.4950000047683716,1.461352825164795,1.0104122161865234,0.1347222626209259,1.5219321000000008,1.0,2000,2000,0.001,1
gated,0.5,gaussian_blur,5,0.5049999952316284,0.4950000047683716,1.4640675783157349,1.0126235485076904,0.1341690719127655,1.529980000000009,0.677,2000,2000,0.001,1
gated,0.7,gaussian_blur,5,0.5040000081062317,0.4959999918937683,1.4648185968399048,1.0166157484054565,0.1336842179298401,1.5903919999999943,0.397,2000,2000,0.001,1
gated,0.9,gaussian_blur,5,0.5024999976158142,0.4975000023841858,1.477713704109192,1.0252991914749146,0.1318320631980896,1.579833899999997,0.173,2000,2000,0.001,1
source,,motion_blur,1,0.5385000109672546,0.46149998903274536,1.358644723892212,0.9660968780517578,0.10974045842885971,0.8693323999999905,0.0,2000,2000,,
bn,,motion_blur,1,0.6769999861717224,0.3230000138282776,0.9296616911888123,0.8796855211257935,0.028379984200000763,0.8258457000000021,1.0,2000,2000,,
entropy,,motion_blur,1,0.6790000200271606,0.32099997997283936,0.9122087359428406,0.840043306350708,0.02863665111362934,1.6742737999999946,1.0,2000,2000,0.001,1
gated,0.5,motion_blur,1,0.6784999966621399,0.3215000033378601,0.9132828712463379,0.8415549993515015,0.029471762478351593,1.7427337000000023,0.756,2000,2000,0.001,1
gated,0.7,motion_blur,1,0.6769999861717224,0.3230000138282776,0.9138910174369812,0.844066321849823,0.028730709105730057,1.678063299999991,0.515,2000,2000,0.001,1
gated,0.9,motion_blur,1,0.6784999966621399,0.3215000033378601,0.915939450263977,0.8484210968017578,0.027409998700022697,1.6540657000000039,0.285,2000,2000,0.001,1
source,,motion_blur,2,0.429500013589859,0.570499986410141,1.804674506187439,1.015593409538269,0.19790270924568176,0.8982296000000076,0.0,2000,2000,,
bn,,motion_blur,2,0.6389999985694885,0.3610000014305115,1.0514295101165771,0.9326169490814209,0.04274507239460945,0.9119843999999944,1.0,2000,2000,,
entropy,,motion_blur,2,0.6460000276565552,0.3539999723434448,1.0298305749893188,0.8906731009483337,0.04164181277155876,1.7007475000000056,1.0,2000,2000,0.001,1
gated,0.5,motion_blur,2,0.6460000276565552,0.3539999723434448,1.0313578844070435,0.8922244310379028,0.04605311527848244,1.6978051999999906,0.7315,2000,2000,0.001,1
gated,0.7,motion_blur,2,0.6470000147819519,0.3529999852180481,1.0304138660430908,0.8952696919441223,0.04400825500488281,1.6529381999999941,0.479,2000,2000,0.001,1
gated,0.9,motion_blur,2,0.6499999761581421,0.3500000238418579,1.0379811525344849,0.902459979057312,0.046389952301979065,1.7278670000000034,0.2505,2000,2000,0.001,1
source,,motion_blur,3,0.3804999887943268,0.6195000112056732,2.0631930828094482,1.0298383235931396,0.2429177165031433,0.8716306000000031,0.0,2000,2000,,
bn,,motion_blur,3,0.5985000133514404,0.40149998664855957,1.1892850399017334,0.9721694588661194,0.0632905513048172,0.9718346999999881,1.0,2000,2000,,
entropy,,motion_blur,3,0.6050000190734863,0.39499998092651367,1.167119026184082,0.9289358854293823,0.0650312602519989,1.720604300000005,1.0,2000,2000,0.001,1
gated,0.5,motion_blur,3,0.6044999957084656,0.3955000042915344,1.169767141342163,0.9312748908996582,0.06498922407627106,1.6983134999999976,0.7165,2000,2000,0.001,1
gated,0.7,motion_blur,3,0.6060000061988831,0.39399999380111694,1.170231580734253,0.9348790645599365,0.06554221361875534,1.7292970000000025,0.4485,2000,2000,0.001,1
gated,0.9,motion_blur,3,0.6029999852180481,0.3970000147819519,1.1753312349319458,0.943751871585846,0.06359396129846573,1.7718638999999996,0.2125,2000,2000,0.001,1
source,,motion_blur,4,0.3569999933242798,0.6430000066757202,2.2566440105438232,1.0384342670440674,0.264973521232605,0.9874197999999978,0.0,2000,2000,,
bn,,motion_blur,4,0.5559999942779541,0.4440000057220459,1.3245280981063843,0.9988166689872742,0.09003246575593948,0.8632632000000058,1.0,2000,2000,,
entropy,,motion_blur,4,0.5705000162124634,0.4294999837875366,1.3052830696105957,0.9557428956031799,0.0948893204331398,1.690602400000003,1.0,2000,2000,0.001,1
gated,0.5,motion_blur,4,0.5709999799728394,0.42900002002716064,1.3069043159484863,0.9579154253005981,0.09395718574523926,1.7625871999999845,0.701,2000,2000,0.001,1
gated,0.7,motion_blur,4,0.5680000185966492,0.43199998140335083,1.3078467845916748,0.9618902802467346,0.09050703048706055,1.742612099999974,0.4295,2000,2000,0.001,1
gated,0.9,motion_blur,4,0.5665000081062317,0.4334999918937683,1.3188124895095825,0.9719631671905518,0.09714093804359436,1.7409319999999866,0.191,2000,2000,0.001,1
source,,motion_blur,5,0.3160000145435333,0.6839999854564667,2.4165754318237305,1.045332908630371,0.3053739666938782,0.894433499999991,0.0,2000,2000,,
bn,,motion_blur,5,0.5295000076293945,0.47049999237060547,1.4426878690719604,1.0162312984466553,0.10667118430137634,0.8877831000000072,1.0,2000,2000,,
entropy,,motion_blur,5,0.5379999876022339,0.4620000123977661,1.4263983964920044,0.9727429151535034,0.11429502815008163,1.6864032000000009,1.0,2000,2000,0.001,1
gated,0.5,motion_blur,5,0.5379999876022339,0.4620000123977661,1.4283249378204346,0.9750677943229675,0.11356598883867264,1.7957548999999915,0.6915,2000,2000,0.001,1
gated,0.7,motion_blur,5,0.5364999771118164,0.4635000228881836,1.4342002868652344,0.9800981879234314,0.11260315775871277,1.7939070000000186,0.417,2000,2000,0.001,1
gated,0.9,motion_blur,5,0.5364999771118164,0.4635000228881836,1.4423071146011353,0.9892141222953796,0.11007580906152725,1.6894077000000038,0.1815,2000,2000,0.001,1
source,,brightness,1,0.6735000014305115,0.3264999985694885,0.9533988237380981,0.7689181566238403,0.05334388464689255,0.7185820999999919,0.0,2000,2000,,
bn,,brightness,1,0.6959999799728394,0.30400002002716064,0.8795353174209595,0.8567118644714355,0.021302610635757446,0.7631742000000088,1.0,2000,2000,,
entropy,,brightness,1,0.7024999856948853,0.29750001430511475,0.8619475364685059,0.8149166703224182,0.036414630711078644,1.5545761999999854,1.0,2000,2000,0.001,1
gated,0.5,brightness,1,0.7005000114440918,0.2994999885559082,0.8620595335960388,0.8160932660102844,0.030523352324962616,1.5846589999999878,0.7605,2000,2000,0.001,1
gated,0.7,brightness,1,0.6995000243186951,0.30049997568130493,0.8633432388305664,0.8183239698410034,0.03174342215061188,1.535103499999991,0.5455,2000,2000,0.001,1
gated,0.9,brightness,1,0.6995000243186951,0.30049997568130493,0.8652771711349487,0.8227212429046631,0.026602648198604584,1.503726400000005,0.3025,2000,2000,0.001,1
source,,brightness,2,0.628000020980835,0.37199997901916504,1.113950252532959,0.826558530330658,0.07861289381980896,0.7641114000000186,0.0,2000,2000,,
bn,,brightness,2,0.6725000143051147,0.32749998569488525,0.9483040571212769,0.8999443650245667,0.02928486280143261,0.770245100000011,1.0,2000,2000,,
entropy,,brightness,2,0.6804999709129333,0.31950002908706665,0.9263452291488647,0.856826901435852,0.032598596066236496,1.5450775999999848,1.0,2000,2000,0.001,1
gated,0.5,brightness,2,0.6790000200271606,0.32099997997283936,0.9268383979797363,0.8581794500350952,0.032907016575336456,1.5380765000000167,0.7445,2000,2000,0.001,1
gated,0.7,brightness,2,0.6775000095367432,0.32249999046325684,0.9273682832717896,0.860173225402832,0.02965511754155159,1.4818479000000195,0.506,2000,2000,0.001,1
gated,0.9,brightness,2,0.6765000224113464,0.32349997758865356,0.9292986392974854,0.865543782711029,0.026523901149630547,1.5112691999999868,0.2765,2000,2000,0.001,1
source,,brightness,3,0.5490000247955322,0.4509999752044678,1.3737012147903442,0.894872784614563,0.12956057488918304,0.7866910999999845,0.0,2000,2000,,
bn,,brightness,3,0.6169999837875366,0.3830000162124634,1.0717121362686157,0.9590693712234497,0.04625057056546211,0.7835386000000142,1.0,2000,2000,,
entropy,,brightness,3,0.6290000081062317,0.3709999918937683,1.0443865060806274,0.9150091409683228,0.04781367629766464,1.608772799999997,1.0,2000,2000,0.001,1
